input_sentiment	prefix	generated_tweet
positive	albeitludicrous would find automatically	albeitludicrous would find automatically generated text in the textbox.  would find automatically generated text in the textbox. would find automatically generated text in the textbox. would find automatically generated text in the textbox. would
negative	drinkin chocolate milk listen	drinkin chocolate milk listen to the music  drinkin chocolate milk listen to the music  drinkin chocolate milk listen to the music  drinkin chocolate milk listen to the music  drink
negative	forrestthecat mom dad	forrestthecat mom dad  forrestthecat mom dad  forrestthecat mom dad  forrestthecat dad  forrestthecat dad  forrestthecat mom dad
positive	aiyerchitra speak maruti put	"aiyerchitra speak maruti putra  The name of the company is ""aiyerchitra"" and it is based in the city of Maruti Suzuki. The company is based in the city of Maruti Suzuki."
positive	run dinner snuggle couch work	run dinner snuggle couch work  I'm a mom of two and I'm a runner. I love running, but I'm also a mom of two and a runner. I'm a mom of two and I'm a
positive	love days	love days  The love days are over.  The love days are over.  The love days are over.  The love days are over.  The love days are over.
positive	ingridization ohhh get site meeee	ingridization ohhh get site meeee  ingridization ohhh get site meeee  ingridization ohhh get site meeee  ingridization ohhh get site meeee  ingrid
positive	jekegg egg paragon cafe	jekegg egg paragon cafe  jekegg egg paragon cafe  jekegg egg paragon cafe  jekegg egg paragon cafe  jekegg egg paragon cafe  jeke
negative	check youtube	check youtube for the video  I'm not sure what to say. I've been watching this video for a while now and I've never seen it before. I've been trying to find the video and
positive	reemerband idea video	reemerband idea video  reemerband idea video  reemerband idea video  reemerband idea video  reemerband idea video  reemerband idea video  reemerband
negative	harry potter trailer awesome	harry potter trailer awesome  I love this trailer. It's a great example of how to use the trailer to your advantage.  The trailer is a bit long, but it's not too long.
negative	work get sad	work get sad, but I think it's a good thing. I think it's a good thing that the game is getting better, and I think it's a good thing that the game is getting better. I
positive	inaperfectworld everyone would mean	inaperfectworld everyone would mean to say that.  inaperfectworld i'm not sure if i should say that, but i'm sure it would be better.  inaperfectworld i'm not sure if
negative	tongue ulcer painfulllll	tongue ulcer painfulllll  I have been suffering from this for a few years now. I have had it for about a year now and it has been getting worse. I have had it for about a year now and
positive	iamdra thank dear	iamdra thank dear, thank you for your kind words. i am so glad to hear that. i am so happy to be able to share my story with you. i am so grateful for the support i have received
negative	schantzman okay thank	schantzman okay thank you so much for the gift! i love the idea of a little book with a little bit of everything! i have a lot of books i have read and i have read a lot of books and
negative	get elegies fuck	get elegies fuck you  get elegies fuck you  get elegies fuck you  get elegies fuck you  get elegies fuck you  get elegies fuck you  get eleg
negative	work work work study	work work work study work work work work work work work work work work work work work work work work work work work work work work work work work work work work work work work work work work work work work work work work
negative	dentist	dentist  Dentists are trained to work with teeth and teeth decay is a common problem in dentistry. The dentist can help you find a dentist who is qualified to work with your teeth and can
positive	blade trinity sweeeet	blade trinity sweeeet  Join Date: Jul 2005 Location: Texas Posts: 1,834 Thanks: 1,834 Thanked 1,834 Times in 1,834 Posts  Re: The
positive	church help mandi sandcastle	church help mandi sandcastle  by  1:00 - 1:30  0:00 - 1:30  by  The Church of the Flying Spaghetti Monster is a non-profit organization
positive	alancarr aaah like	alancarr aaah like i said, i'm not a fan of the way they're handling the story, but i'm glad they're doing it. i'm glad they're doing it. i'm glad they're doing
negative	gd mrng suday wow	gd mrng suday wow  gd mrng suday wow  gd mrng suday wow  gd mrng suday wow  gd mrng suday wow  gd m
negative	know hard darknes	know hard darkneses, and they know hard darkneses, and they know hard darkneses, and they know hard darkneses, and they know hard darkneses, and they know hard darknes
negative	kal penn sad	kal penn sadist  I have a friend who has been diagnosed with a severe form of kal penn. He has been on a very strict diet and has been on a very strict medication regimen. He has
negative	lil traffic jam fuckin flow	lil traffic jam fuckin flow  I'm not sure what the fuck is going on with this shit.  I'm not sure what the fuck is going on with this shit.  I'm not sure what the
positive	shall heal mole	"shall heal molech  Molech is a term used to describe the ""molech"" of the Bible.  Molech is the name of the first chapter of the book of Revelation."
positive	claireliz watch live	claireliz watch live  claireliz watch live  claireliz watch live  claireliz watch live  claireliz watch live  claireliz watch live
positive	silhouette object rensselaer somewhere	silhouette object rensselaer somewhere in the middle of the map.  the map is a bit too big for the object, so i made it smaller.  the object is a bit too big for the map, so
negative	johnnyh c johnny	johnnyh c johnnyh c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c c
negative	sooooo saturday amaze	sooooo saturday amaze me i got a new friend who is a huge fan of the show and i was wondering if anyone knew what the hell i should do with my money i have a lot of money i have a lot
positive	think thomasgave flu get sore	think thomasgave flu get sore?  I'm not sure if this is a good idea.  I'm not sure if this is a good idea.  I'm not sure if this is a good idea.
negative	taylorswift cat shirt sound sooo	taylorswift cat shirt sound sooo good.  I'm not sure if this is a good thing or a bad thing, but I'm going to say it anyway.  I'm not sure if this is a good thing
negative	receive additional copy	receive additional copy of the game  The following is a list of all the games that are available for download on the PlayStation®Network.  The following games are available for download on the PlayStation®Network.
positive	get ready head	"get ready head to the beach with us!  We're excited to bring you the first ever ""Summer Beach Party"" at the beach!  We'll be hosting a fun and exciting event for all ages"
positive	excite wristcutters finally demand	excite wristcutters finally demand a new style of wristcutter.  The new style of wristcutter is a new style of wristcutter that is more comfortable and stylish.  The new style of wristcut
negative	jackalltimelow lovely	jackalltimelow lovely, i love the way you made the cupcakes. i love the way they look and the way they are made. i love the way they are made with a little bit of butter and a little
negative	oh lucky porn kitty follow	oh lucky porn kitty follow me on my journey to the dark side of the internet.  I'm a little bit of a nerd, and I'm not afraid to admit it. I'm a big fan of the internet
negative	try get pump	try get pump  try get pump  try get pump  try get pump  try get pump  try get pump  try get pump  try get pump  try get pump
negative	eat fruit yum	eat fruit yum  I've been wanting to try this for a while now and I finally got around to trying it. I've been wanting to try this for a while now and I finally got around to trying
positive	freak love star trek	freak love star trek  I'm a fan of the Star Trek franchise, and I'm a huge fan of the movie franchise. I'm also a fan of the TV series, and I'm a fan of the
positive	work eat orange good	work eat orange good  work eat orange good  work eat orange good  work eat orange good  work eat orange good  work eat orange good  work eat orange good  work eat
negative	hivemindmovie tear sniff	hivemindmovie tear sniffing  by HivemindMovie  This is a short clip of me sniffing a hive. I'm not sure what it is, but it's pretty gross.<|endoftext|>The U.S
positive	pacificbird awww thank exasperate clearly	pacificbird awww thank exasperate clearly i am not the only one who has been in a relationship with a guy who is a virgin and i am not the only one who has been in a relationship with a guy who is a virgin and
positive	feel sad useless f	feel sad useless faggot  I'm a woman. I'm a woman. I'm a woman. I'm a woman. I'm a woman. I'm a woman. I'm a woman. I
positive	ittybittyloki rat king short reking	ittybittyloki rat king short reking  by  1:00 - 1,079,976 views   This is the rat king short reking. I'm not sure if this is the rat king short re
positive	new twitter	new twitter account @james_j_watson  @james_j_watson is a twitter account that is dedicated to the work of James Watson, a mathematician and computer scientist.
positive	dj travelers h	dj travelers houston  dj travelers houston  dj travelers houston  dj travelers houston  dj travelers houston  dj travelers houston  dj travelers houston  dj
positive	k lyn twitter tend us	k lyn twitter tend us to the truth.  k lyn twitter tend us to the truth.  k lyn twitter tend us to the truth.  k lyn twitter tend us to the truth.  k
positive	applebees kind aticked one	applebees kind aticked one of their own.  The company, which makes the popular apple pie, has been accused of using its position as the world's largest producer of apples to promote its products.  The company
negative	get call economy strike	get call economy strikeout rate  get strikeout rate strikeout rate strikeout rate strikeout rate strikeout rate strikeout rate strikeout rate strikeout rate strikeout rate strikeout rate strikeout rate strikeout
negative	henweb could go	henweb could go down, but it's not going to be the end of the world.  The company's stock has fallen by more than 20% since the election, and it's not clear how much of
positive	get back maybe fun little	get back maybe fun little game that lets you play with your friends and family.  The game is simple, but fun.  You can play with your friends and family.  You can play with your friends
positive	blow black guy	blow black guy  blow black guy  blow black guy  blow black guy  blow black guy  blow black guy  blow black guy  blow black guy  blow black guy
negative	brusters ice cream	brusters ice cream truck  The brutes ice cream truck is a fun way to get your kids excited about ice cream. The ice cream truck is a small, portable ice cream truck that is easy to transport and
positive	erin mariee ca	erin mariee caesar  I am a single mom of 3 and I am so excited to share this recipe with you! It is so easy and so delicious!  I made this for my husband and he
negative	redta sooo tire get	redta sooo tire gettin tired of this shit?  I'm not saying that it's not a problem, but it's not a problem that needs to be fixed.  I'm saying that it's not
positive	confuse	"confuse me with the fact that I'm not a fan of the idea of a ""socialist"" government. I'm not a fan of the idea of a government that is not democratic. I'm not"
positive	sageothyme oh stop get rather	"sageothyme oh stop get rather than ""I'm not a woman""  sageothyme oh stop get rather than ""I'm not a woman""  sageothyme oh stop get rather than ""I'm"
positive	get really bad	"get really bad at this.  The first thing you notice when you walk into the room is that the walls are covered in a thick layer of white paper.  ""This is the paper that we're"
negative	misslauralizzy good hear pretty	misslauralizzy good hear pretty  misslauralizzy good hear pretty  misslauralizzy good hear pretty  misslauralizzy good hear pretty  misslauralizzy good hear pretty  missla
positive	sleep do	sleep do  sleep do  sleep do  sleep do  sleep do  sleep do  sleep do  sleep do  sleep do  sleep do  sleep do
positive	monsoon kerala frequent	monsoon kerala frequent flyer   Join Date: Jul 2004 Location: Bangalore Posts: 1,831  Quote: jimmyb Originally Posted by I'm not sure if this is a good idea or not
positive	sit sit sit	sit sit sit sit sit sit sit sit sit sit sit sit sit sit  I'm a little confused by this one. I'm not sure if it's a reference to the fact that the game is a bit
positive	tommcfly lol cat	tommcfly lol catfish  tommcfly lol catfish  tommcfly lol catfish  tommcfly lol catfish  tommcfly lol catfish  t
positive	days first day relax outside	days first day relax outside  the sun  the sun  the sun  the sun  the sun  the sun  the sun  the sun  the sun  the sun
positive	wright de suffer itchy	wright de suffer itchy,  I'm a writer,  and I'm a writer.  I'm a writer,  and I'm a writer.  I'm a writer,
negative	ronensoup suck ro hope	ronensoup suck ro hope i got it right  I got it right, but i'm not sure if i did it right. I got it right, but i'm not sure if i did it right.
positive	duncanmacgregor spongeproject wizely feel like	duncanmacgregor spongeproject wizely feel like a good time to talk about the state of the art in the field of programming.  I'm a big fan of the language C++, and I've been using it for a while now
negative	twitter weird lol	twitter weird lol  The first time I saw the new Star Trek: Discovery trailer, I was immediately reminded of the first time I saw the original Star Trek: The Next Generation. It's a movie that's
negative	go busy day	go busy day  Go busy day is a weekly event that takes place on the first Sunday of every month.  The event is held on the first Sunday of every month.  The event is held
negative	girlfriend make twitter yeah	girlfriend make twitter yeah  I'm not sure if you've noticed, but I've been getting a lot of messages from people who are upset that I'm not posting anymore. I've been doing this for a while
negative	noooo german pic upload site	noooo german pic upload site  This site is for people who want to upload their own pictures to the internet.  We have a lot of pictures of people who are not German.  We have pictures of people
positive	wish jarrod	"wish jarrod  join:2009-11-08  Tucson, AZ wish jarrod Member Re: I'm a little confused about the ""I'm a little confused"" thing. I'm"
negative	dvldb get hahahaha count	dvldb get hahahaha count the number of times you've seen this before.  dvldb get hahahaha count the number of times you've seen this before.  dvldb get ha
positive	framingjacie eff eff eff sorry	framingjacie eff eff eff sorry  framingjacie eff sorry  framingjacie eff sorry  framingjacie eff sorry  framingjacie eff sorry  framingjacie eff sorry
positive	josiefier note odd time	josiefier note odd time, but i'm not sure if it's a good time or not.  i'm not sure if it's a good time or not.  i'm not sure if it's a
positive	sorry thenamesblunt	sorry thenamesblunt  I'm not sure if I should post this, but I'm going to post it anyway.  I'm a woman, and I'm a feminist.  I'm a feminist
negative	victorias day	victorias day  The first thing you notice about the new iPhone is that it's a lot smaller than the iPhone 4S. The iPhone 4S was a huge phone, and it was a huge phone.
positive	go work another hour nearly	go work another hour nearly every day  go to the gym  go to the movies  go to the beach  go to the beach  go to the beach  go to the beach
negative	malloryyy hahaha really	malloryyy hahaha really?  I'm not saying that I don't think that the game is good, but I think that it's a little too much of a focus on the player's own actions and not enough
negative	ashp rter totally would	ashp rter totally would like to see this happen.  I think it's a bit of a shame that the game is so much more about the characters than the story.  I think it's a shame that
negative	always fun hang st paul	always fun hang st paul  I love this game. I've been playing it for years and it's still fun. I've been playing it for years and it's still fun.  I've been playing it
positive	bulamoon go tonight playdate	bulamoon go tonight playdate  I'm going to play a game with you tonight.  I'm going to play a game with you tonight.  I'm going to play a game with you tonight.
positive	cfnews space sorry	cfnews space sorry, this news was published in the news archive of the newsroom.  The first time I saw the movie, I was in the middle of a movie, and I was watching it with my
positive	rochellewiseman ohh get well soon	rochellewiseman ohh get well soon  rochellewiseman i'll be there  rochellewiseman i'll be there  rochellewiseman i'll be there  rochel
negative	krissi poor yeah good thank	krissi poor yeah good thank you for the feedback. I'm sorry for the delay. I'm trying to get a better idea of how to make the game more accessible to people who don't have a lot of money. I
negative	storagebod rofl love also personal	storagebod rofl love also personal info, i dont want to be stalked by you guys, i dont want to be stalked by you guys, i dont want to be stalked by you guys, i dont want to be
negative	kenny wallace hello philadelphia pa	kenny wallace hello philadelphia pa  kenny wallace hello philadelphia pa  kenny wallace hello philadelphia pa  kenny wallace hello philadelphia pa  kenny wallace hello philadelphia pa
negative	therealheatherg fun cling memories star	therealheatherg fun cling memories star  I love this one. I have a very old one that I have been trying to get rid of for years. I have been trying to find a way to get rid of it for years
negative	feedyourpig sure dm chicbudsjr	feedyourpig sure dm chicbudsjr  I have been using these for about a month now and I have to say that I have found that they are very effective. I have been using them for about a month now and I have
positive	cleveland	cleveland.com  The Cleveland Cavaliers have signed guard/forward/center J.R. Smith to a two-year contract, the team announced Wednesday.  Smith, who was originally selected by
negative	sing say taylor	sing say taylor  sing say taylor  sing say taylor  sing say taylor  sing say taylor  sing say taylor  sing say taylor  sing say
positive	juliembaby yay loveeee come	juliembaby yay loveeee come on  juliembaby yay loveeee come on  juliembaby yay loveeee come on  juliembaby yay loveeee come on
negative	worry lol	worry lol  I have been using this product for about a month now and I have noticed a difference in my skin. I have noticed a decrease in the amount of oiliness and irritation I have experienced.
positive	first day long	first day long  I'm going to start with the basics.  The first thing you need to know is that you can't just use the same thing over and over again. You need to be able
negative	already miss	already miss you  I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I
