input_sentiment	prefix	generated_tweet
negative	ahaha really bore	"ahaha really bore me to death with the ""I'm not a racist"" bullshit. I'm not a racist. I'm a white supremacist. I'm a racist. I'm a racist. I'm a racist"
negative	pandadementia woooot	pandadementia wooooty  I'm not sure if this is a joke or not, but I'm going to say it anyway. I'm going to say it because I'm a huge fan of the show and
negative	thing one fell bed	thing one fell bed  I'm not sure if this is a joke or not, but I'm going to go out on a limb and say that this is a joke.  I'm not sure if this
positive	r go fight summer loliowe	r go fight summer loliowe  r go fight summer loliowe  r go fight summer loliowe  r go fight summer loliowe  r go fight summer loliowe  r go
positive	dementedriku yup imagine things get	dementedriku yup imagine things get worse for you when you're a kid.  dementedriku i think it's because you're a kid.  dementedriku you're not a kid anymore.
negative	wish could go	wish could go back to the old days of the old days of the old days of the old days of the old days of the old days of the old days of the old days of the old days of the old
positive	eemilymmay lucky forensic exam	eemilymmay lucky forensic examiners who have been awarded the highest award in the world.  The award is given to those who have been awarded the highest award in the world.  The award is given to those who
positive	reelnewyorker luck	reelnewyorker luckysuit  Re: [ANN] [PVE] The New York Times - The New York Times - The New York Times - The New York Times - The New York Times  I
positive	justgis good night	justgis good night  justgis good night  justgis good night  justgis good night  justgis good night  justgis good night  justgis
negative	saw kyle burn twin local	saw kyle burn twin locales in the process  The first time I saw the movie, I thought it was a bad movie. I thought it was a bad movie because it was so bad. I thought it was a
negative	olivia li thank see	olivia li thank see you soon  olivia li thank see you soon  olivia li thank see you soon  olivia li thank see you soon  olivia li thank see you soon
positive	stick tokyo much get home	stick tokyo much get home  I'm sorry, I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm
positive	ianj quite like aftershave	ianj quite like aftershave. i have been using it for a while now and i have to say that it is the best aftershave i have ever used. it is so smooth and it is so good. i have
positive	bed early call	bed early call for help  A man was rescued after he was rescued from a house in the city's west.  The man was rescued by firefighters after he was rescued from a house in the city's
negative	eat waaaay much	eat waaaay much food.  The first thing you'll notice about the new iPhone 6 and iPhone 6 Plus is that they're a lot thinner than the previous generation. The new iPhone 6 and iPhone 6 Plus are
positive	lisisilveira guess twitter problems new	lisisilveira guess twitter problems newbie  Lisisilveira guess twitter problems newbie 1  Lisisilveira guess twitter problems newbie 2  Lisisilveira guess twitter problems
negative	really happy diversity	really happy diversity  I'm really happy with the way the game is shaping up. I'm really excited to see how the game plays.  …<|endoftext|>The U.S. Department of Agriculture (US
negative	quiet road train	quiet road train station  The quiet road train station is located on the outskirts of the city of Krakow, in the heart of the Polish capital. It is a small, modern, modernist building,
negative	jadezeller know force us lol	jadezeller know force us lol  I'm not sure if this is a joke or not, but I'm pretty sure it's not.  I'm not sure if this is a joke or not, but I'm
positive	hoptonhousebnb karen realise	hoptonhousebnb karen realise that they are not the only ones who are having problems with this. they are also having problems with the other people who are having problems with this. they are also having problems with the other people who
negative	bendywalker yeah thank good weekend	bendywalker yeah thank good weekend  bendywalker yeah i'm gonna go get some food  bendywalker yeah i'm gonna go get some food  bendywalker yeah i'm gonna go get
positive	docs order eat	docs order eaters  The first time I saw this, I was a little confused. I was a little surprised that it was so good. I was also a little surprised that it was so good. I
positive	dickydrew twist arm	dickydrew twist arm  dickydrew twist arm  dickydrew twist arm  dickydrew twist arm  dickydrew twist arm  dickydrew twist arm
negative	read christian book	read christian book review  by christian book review  the christian book review is a place to discuss books that are either controversial, controversialist, or controversialististist.  this is a
negative	back filthy dukes	back filthy dukes of hart  back filthy dukes of hart  back filthy dukes of hart  back filthy dukes of hart  back dirty dukes of hart
positive	ah get look trans	"ah get look transitive verb: Verb not taking a direct object--for example, ""She jokes."" ""He has arrived.""  ah get look transitive verb: Verb not taking a direct object--for example"
positive	shit weather continue	shit weather continue to be the most important thing in the world.  I have a lot of friends who are very happy with their lives.  I have a lot of friends who are very happy with their
positive	show get cancel	show get cancel  show cancel  show cancel  show cancel  show cancel  show cancel  show cancel  show cancel  show cancel  show cancel  show cancel
negative	maggie choir concert senior	maggie choir concert senior  maggie choir concert senior  maggie choir concert senior  maggie choir concert senior  maggie choir concert senior  maggie choir concert senior
positive	like naomis sister	like naomis sister  I like the way you're holding your head up.  I like the way you're holding your head up.  I like the way you're holding your head up.
positive	gmail	gmail.com/paulcraigmcdonagh  twitter.com/paulcraigmcdonagh  facebook.com/paulcraigmcdonagh
negative	athlone th nice	athlone th nice guy  I'm not sure if this is a good idea, but I'm going to try.  I'm not sure if this is a good idea, but I'm going to try
positive	buy vinyl modwheelmood	buy vinyl modwheelmood  Buy vinyl modwheelmood  Buy vinyl modwheelmood  Buy vinyl modwheelmood  Buy vinyl modwheelmood  Buy vinyl modwheelmood
negative	besties ddlovato twitpic	besties ddlovato twitpic  I'm not sure if this is a joke or not, but I'm going to say it anyway.  The New York Times has a story about a new study that shows that the
positive	jannagae appreciate mention stickers	jannagae appreciate mention stickers  jannagae appreciate mention stickers  jannagae appreciate mention stickers  jannagae appreciate mention stickers  jannagae appreciate mention stickers  jann
negative	matthew fox make	matthew fox make a guest Aug 16th, 2016 1,895 Never a guest1,895Never  Not a member of Pastebin yet? Sign Up, it unlocks many cool features!  rawdownloadcloneembedreportprint
positive	first day twitter	first day twitter  first day twitter  first day twitter  first day twitter  first day twitter  first day twitter  first day twitter  first day twitter  first day twitter
positive	timhaines saw dave	timhaines saw dave's post about the new dave's post about the new dave's post about the new dave  dave's new post about the new dave's new post about the new d
positive	nadavmelnick talk ya soon	nadavmelnick talk ya soon  I'm not sure what the point of this is. I'm not sure what the point of this is. I'm not sure what the point of this is. I'm not sure what
positive	drakerock say anything	drakerock say anything about it.  I have been using this for about a year now and I have to say that I have never been happier with my purchase. I have used it for a variety of purposes and
positive	bed day still feel like	bed day still feel like a dream  I'm not sure what I'm doing here  I'm not sure what I'm doing here  I'm not sure what I'm doing here  I'm not
negative	esse wolverine que	esse wolverine que se puede ser una vida esta vida, por el cualquier ciudadan las ciudades algunas ciudades de las cada
positive	kaos weather play nice	kaos weather play nice with the weather  The weather is nice and warm in the UK, and the weather is nice and warm in the US.  The weather is nice and warm in the UK, and the
negative	kingacole kool beaz david buy	kingacole kool beaz david buyz  kingacole kool beaz david buyz  kingacole kool beaz david buyz  kingacole kool beaz david buyz  king
negative	wake tons assignment arghhhh	wake tons assignment arghhhh  wake tons assignment arghhhh  wake tons assignment arghhhh  wake tons assignment arghhhh  wake tons assignment arghhhh  wake tons assignment arghhhh
positive	fobchick knowww never get ride	fobchick knowww never get ridein on a bike  fobchick knowww never get ridein on a bike  fobchick knowww never get ridein on a bike  fobchick
negative	midorilyn thank	midorilyn thank you for your kind words. i am very sorry i am not able to respond to you. i am not able to respond to you because i am not able to respond to you. i am not
negative	eric dane hey dr sloan	eric dane hey dr sloan, i'm not sure if you're aware of this but i'm a big fan of your work. i'm not sure if you're aware of this but i'm a big fan of your work
positive	tracecyrus hey trace	tracecyrus hey trace,  I'm a student at the University of California, Berkeley. I am a member of the Black Student Union (BSU) and I am a member of the Black Student Alliance (B
negative	chelsea handler drool	chelsea handler drool  I'm not sure if this is a good thing, but I'm going to be a little more specific about this.  The first time I saw the video, I thought it was
positive	real ajalon let find tryna	real ajalon let find tryna find  real ajalon let find tryna find  real ajalon let find tryna find  real ajalon let find tryna find  real ajalon
negative	joan baez diamonds rust johnathan	joan baez diamonds rust johnathan davis  joan baez diamonds rust johnathan davis  joan baez diamonds rust johnathan davis  joan baez diamonds rust johnathan davis
negative	totally miss home town want	totally miss home town want to go to the beach and see the sunset  I'm going to go to the beach and see the sunset  I'm going to go to the beach and see the sunset  I
negative	meganwayxo brainstorm make icebox	meganwayxo brainstorm make icebox cake  meganwayxo brainstorm make icebox cake  meganwayxo brainstorm make icebox cake  meganwayxo brainstorm make icebox cake  me
positive	orthodontist appointment today mouth	orthodontist appointment today mouthpiece  orthodontist appointment today mouthpiece  orthodontist appointment today mouthpiece  orthodontist appointment today mouthpiece  orthodontist appointment today mouth
negative	tommcfly wish could	"tommcfly wish could you please tell me what is the difference between a ""tommcfly"" and a ""tommc""?  tommcfly wish could you please tell me what is the difference between"
positive	lose langfordperry want know	lose langfordperry want know if you have a question about a product or service.  We want to hear from you.  Email us at ask@askmw.com.<|endoftext|>The first time I saw the
positive	harthanson hi emily	harthanson hi emily  harthanson hi emily  harthanson hi emily  harthanson hi emily  harthanson hi emily  harthanson hi emily
positive	sunburn go away please	sunburn go away please  I have been using this product for years and have never had a problem. I have used it on my face and it has never caused any problems. I have used it on my hands and
negative	pallekenl take lot	pallekenl take lot of time to make their products.  The quality of the product is not always the best.  The price is not always the best.  The quality of the product is not always
positive	shuttler expect see half	shuttler expect see half of the world's population living in the United States.  The United States is the world's largest economy, with a population of more than 1.2 billion people. The United States is also
positive	something wrong internet site	something wrong internet site  something wrong internet site  something wrong internet site  something wrong internet site  something wrong internet site  something wrong internet site  something wrong internet site  something wrong
positive	really could chocolate	really could chocolate be a good thing?  I'm not sure I've ever heard of chocolate being a good thing. I've heard of it being a good thing for the environment, but I've never heard
negative	waytobe measure control tool effective	waytobe measure control tool effective  I have been using the waytobe measure control tool for a while now. It is a great tool for measuring the amount of time it takes to complete a task. It is also a
negative	another productive day vehicles	another productive day vehicles  I have a 2004 Ford Escape with a 4.5L V8 and a 6 speed manual transmission. I have been using it for about a month now and have been able to get it
positive	yelyahwilliams wish actually	yelyahwilliams wish actually  I have been a fan of the show since it first aired in the US. I have been a fan of the show since it first aired in the US.  I have a friend
positive	crazi b autiful haha nah	crazi b autiful haha nah i mean i think it's a good idea to have a little fun with it but i think it's a good idea to have a little fun with it but i think it's a good idea to
positive	listen new music ashley tisdale	listen new music ashley tisdale  listen new music ashley tisdale  listen new music ashley tisdale  listen new music ashley tisdale  listen new music ash
negative	annissanns nice think	annissanns nice think you can get a good price on a new one. i have a new one and i am not sure if it will last. i have a new one and i am not sure if it will last
positive	hat twitter right	hat twitter right now  hat twitter right now  hat twitter right now  hat twitter right now  hat twitter right now  The first time I saw the video, I thought it was a
positive	hate rain	hate rainbows  I'm a huge fan of the rainbow. It's a beautiful, colorful, and incredibly powerful symbol of love.  But, as I've learned, the rainbow is not the
negative	alchey mornin chica	alchey mornin chica  (mornin chica)  (mornin chica)  (mornin chica)  (mornin chica)  (m
negative	dizzyfeet broght chocolate	dizzyfeet broght chocolate  dizzyfeet broght chocolate  dizzyfeet broght chocolate  dizzyfeet broght chocolate  dizzyfeet broght chocolate  dizzy
positive	stick traffic hour yesterday	stick traffic hour yesterday.  I'm not sure what the problem is, but I'm not sure I want to be the one to fix it.  I'm not sure I want to be the one to
negative	novak see come	"novak see come to mind.  I'm not sure what you mean by ""come to mind.""  I'm not sure what you mean by ""come to mind.""  I'm not sure what"
positive	savannahnatasha like beach	savannahnatasha like beach babe  hot babe with big tits and sexy ass hot babe with big tits and sexy ass hot babe with big tits and sexy ass hot babe with big tits and sexy ass hot babe with big tits
positive	kansas city airport crazy	kansas city airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy
positive	sick sing enthusiasm right	sick sing enthusiasm right now.  i think it's a good song, but i think it's a bad song.  i think it's a good song, but i think it's a bad song.
positive	video audio nothingggg n	video audio nothingggg nsfw  This is a very nice and very sexy video of a very nice and very sexy young woman. She is very beautiful and very sexy. She is very sexy. She is very sexy
positive	djdatz nice put name twitter	djdatz nice put name twitter  djdatz nice put name twitter  djdatz nice put name twitter  djdatz nice put name twitter  djdatz nice put name twitter  djdat
positive	beckym yayyy anyway sweetie must	beckym yayyy anyway sweetie must be so happy to be here! i was in the middle of the day and i was just about to go to the bathroom when i saw you and your cute little face. i was so excited to
negative	jdloving want fair always	jdloving want fair always fair  I'm a big fan of the fairies. I'm not a big fan of the fairies in general. I'm not a big fan of the fairies in the movies.
negative	mornin sunshine	"mornin sunshine  I'm not sure if this is a joke or not, but I'm going to be doing a series of posts on the topic of the ""snow"" in the sky."
negative	wait week go	wait week go to hell.  i'm not sure if you're aware of this, but i'm going to be going to hell this week.  i'm going to go to hell because i'm
positive	lake house watch game	lake house watch game  The lake house watch game is a game played by a group of people in a lake. The game is played by a group of people who are all wearing the same outfit. The players are
positive	oridusartic oops okeh version	oridusartic oops okeh version  oridusartic oops version  oridusartic oops version  oridusartic oops version  oridusartic oops version
positive	lovebugsy miss youknowwho	lovebugsy miss youknowwho  Lovebugsy  Lovebugsy  Lovebugsy  Lovebugsy  Lovebugsy  Lovebugsy  Lovebugsy  Lovebugsy
positive	adios twitter bug	adios twitter bug  I'm using the latest version of the latest version of the latest version of the latest version of the latest version of the latest version of the latest version of the latest version of the latest version
positive	beautiful day outsidee	beautiful day outsidee  Beautiful day outsidee  Beautiful day outsidee  Beautiful day outsidee  Beautiful day outsidee  Beautiful day outsidee  Beautiful day
positive	maaan great would ta see	maaan great would ta see this. I have a few of these and I have to say, I am very impressed with this product. I have been using this for about a year now and I have to say, I have
negative	mcflyfan katie thank x	mcflyfan katie thank xD  mcflyfan katie i'm sorry for the mess  mcflyfan katie i'm sorry for the mess  mcflyfan katie i'm sorry
negative	top morning	"top morning show host and former Republican presidential candidate Carly Fiorina said that she would be willing to run for president in 2016.  ""I would be willing to run for president in 2016,"" Fiorina said during a"
positive	good morning anyone go	good morning anyone go to the new house? i have a question i have a new house and i am looking for a new house i have a question i have a new house and i am looking for a new house i
negative	morning historic georgia theater catch	morning historic georgia theater catch the sun on the way to the theater.  The historic downtown Georgia Georgia Tech campus is a place of great history and great architecture. The campus is home to Georgia Tech, the nation's first
negative	gandalfar worry maybe presentation	gandalfar worry maybe presentation is too bad. i think it's good. i think it's good.  gandalfar worry maybe presentation is too bad. i think it's good. i think it's good
negative	seem stop cough run	seem stop cough run cough cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough run cough
positive	flishflash nope another weeks	"flishflash nope another weeks update. i have been working on a new game called ""flishflash"" i am a french guy who loves to play games and i love to play games with friends. i love to play games"
negative	cook breakfast clean dish	cook breakfast clean dishwasher  cook breakfast clean dishwasher  cook breakfast clean dishwasher  cook breakfast clean dishwasher  cook breakfast clean dishwasher  cook breakfast clean dishwasher  cook breakfast
negative	search smoke machine	search smoke machine  Search for:  DEFINITIONS:  Smoke machine  Smoke machine  Smoke machine  Smoke machine  Smoke machine  Sm
positive	fall asleep get w rk	"fall asleep get w rkled up and ready to go  I'm a big fan of the ""I'm a big fan of the "" I'm a big fan of the "" I'm a big fan of the """
positive	burgosvillavert say website due	burgosvillavert say website due to be taken down  A website for a group of people who have been fighting for the right to vote in the US presidential election has been taken down.  The website, which was run
positive	hatastic morning	hatastic morning!  I'm so excited to be able to share this recipe with you! I've been wanting to make this recipe for a while and finally got the chance to make it! I've been
negative	skadworldwide really want go	skadworldwide really want goons to be able to kill us all.  I'm not saying they're going to do it, but they're going to do it.  I'm not saying they're going to
positive	tarynvonfabu giggle think	tarynvonfabu giggle think i'm going to be a good girl for you.  tarynvonfabu giggle i know.  tarynvonfabu giggle i know.  tarynvon
negative	sleep eye open	sleep eye open  sleep eye closed  sleep eye open  sleep eye closed  sleep eye open  sleep eye closed  sleep eye closed  sleep eye closed  sleep eye closed
positive	live check miss time	live check miss time  live check miss time  live check miss time  live check miss time  live check miss time  live check miss time  live check miss time  live check
positive	june st tomorrow	june st tomorrow, and i will be doing a live stream of the event.  The event will be held at the same venue as the previous event, and will be broadcasted on the official stream.
positive	allicatco cartoon fan	allicatco cartoon fan  A cartoonist who loves to draw and draw well.  A cartoonist who loves to draw and draw well.  A cartoonist who loves to draw and draw well.
positive	run cure breast cancer	run cure breast cancer  run cure breast cancer  run cure breast cancer  run cure breast cancer  run cure breast cancer  run cure breast cancer  run cure breast cancer  run cure
positive	need help find lil kim	need help find lil kimberly?  click here to search for lil kimberly  or  click here to search for lil kimberly  or  click here to search for
negative	plan set sunday	plan set sunday, june 28th, 2015  I'm going to be doing a plan set on sunday, june 28th, 2015. I'm going to be doing a plan set on sund
negative	delariqua tiadalmade heybuddy sedityxbarbie hella	delariqua tiadalmade heybuddy sedityxbarbie hella hot bbw babe hella hot bbw babe hella hot bbw babe hella hot bbw babe hella hot bbw babe hella hot bbw babe
