input_sentiment	prefix	generated_tweet
positive	fobchick knowww never get ride	fobchick knowww never get ridein on a bike  fobchick knowww never get ridein on a bike  fobchick knowww never get ridein on a bike  fobchick
negative	douwea thank douwe really game	douwea thank douwe really game for this game. it's a great game to play with your kids. It's a game that's been around for a long time, and it's a game that's been around for a long
positive	savannahnatasha like beach	savannahnatasha like beach babe  hot babe with big tits and sexy ass hot babe with big tits and sexy ass hot babe with big tits and sexy ass hot babe with big tits and sexy ass hot babe with big tits
negative	blahhh huge headache still beatin	"blahhh huge headache still beatin up my head. i'm still trying to get my head around the idea of a ""real"" game. i'm not sure if i'm going to be able to get my head around the idea"
positive	something wrong internet site	something wrong internet site  something wrong internet site  something wrong internet site  something wrong internet site  something wrong internet site  something wrong internet site  something wrong internet site  something wrong
positive	dickydrew twist arm	dickydrew twist arm  dickydrew twist arm  dickydrew twist arm  dickydrew twist arm  dickydrew twist arm  dickydrew twist arm
positive	roberttutsky ok make smile	roberttutsky ok make smiley face  roberttutsky ok make smiley face  roberttutsky ok make smiley face  roberttutsky ok make smiley face
positive	gmail	gmail.com/paulcraigmcdonagh  twitter.com/paulcraigmcdonagh  facebook.com/paulcraigmcdonagh
positive	wtf twitter get block school	wtf twitter get block schoolgirl  I'm not sure what to make of this. I'm not sure what to make of this.  I'm not sure what to make of this. I'm not sure what
negative	dizzyfeet broght chocolate	dizzyfeet broght chocolate  dizzyfeet broght chocolate  dizzyfeet broght chocolate  dizzyfeet broght chocolate  dizzyfeet broght chocolate  dizzy
negative	enjoy depapepe song make relax	enjoy depapepe song make relax  enjoy depapepe song make relax  enjoy depapepe song make relax  enjoy depapepe song make relax  enjoy depapepe song make relax
positive	fuck bio summer	fuck bio summer  fuck bio summer  fuck bio summer  fuck bio summer  fuck bio summer  fuck bio summer  fuck bio summer  fuck bio summer  fuck bio summer
negative	really happy diversity	really happy diversity  I'm really happy with the way the game is shaping up. I'm really excited to see how the game plays.  …<|endoftext|>The U.S. Department of Agriculture (US
negative	want know hot guy walk	want know hot guy walkin on the beach.  I'm a guy.  I'm a guy.  I'm a guy.  I'm a guy.  I'm a guy.
positive	still tingly love jesus feel	still tingly love jesus feel the love  I love you  I love you  I love you  I love you  I love you  I love you  I love you  I
negative	edmoilers lose please help find	edmoilers lose please help find me!   I'm looking for a guy who is interested in a relationship.   I'm a 20 year old male.   I'm looking for a guy who is interested in a
negative	wake tons assignment arghhhh	wake tons assignment arghhhh  wake tons assignment arghhhh  wake tons assignment arghhhh  wake tons assignment arghhhh  wake tons assignment arghhhh  wake tons assignment arghhhh
positive	hat twitter right	hat twitter right now  hat twitter right now  hat twitter right now  hat twitter right now  hat twitter right now  The first time I saw the video, I thought it was a
positive	buy vinyl modwheelmood	buy vinyl modwheelmood  Buy vinyl modwheelmood  Buy vinyl modwheelmood  Buy vinyl modwheelmood  Buy vinyl modwheelmood  Buy vinyl modwheelmood
positive	xmellyssax oh link work	xmellyssax oh link work  xmellyssax link  xmellyssax link  xmellyssax link  xmellyssax link  xmellyssax link
positive	anjaxautopsy sound like	anjaxautopsy sound like a good idea.  anjaxautopsy is a great tool for finding out what's going on in the brain of a player.  anjaxautopsy is a great tool
negative	annissanns nice think	annissanns nice think you can get a good price on a new one. i have a new one and i am not sure if it will last. i have a new one and i am not sure if it will last
negative	beauty shop w mom	beauty shop w mommy shop w mommy shop w mommy shop w mommy shop w mommy shop w mommy shop w mommy shop w mommy shop w mommy shop w mommy shop w mom
positive	slessard feel really bad b	slessard feel really bad btw  slessard  slessard  slessard  slessard  slessard  slessard  slessard  sless
positive	time go pay	time go pay attention to the words in the sentence.  time go pay attention to the words in the sentence.  time go pay attention to the words in the sentence.  time go pay attention
negative	creth sorry cuss contest	creth sorry cuss contest  I'm a big fan of the creth. I've been a fan of creth for a while now, and I'm so glad that I finally got to try it out. I
positive	itslissa shoot go straight	itslissa shoot go straight to hell  itslissa shoot go straight to hell  itslissa shoot go straight to hell  itslissa shoot go straight to hell  itslissa shoot go straight
negative	gandalfar worry maybe presentation	gandalfar worry maybe presentation is too bad. i think it's good. i think it's good.  gandalfar worry maybe presentation is too bad. i think it's good. i think it's good
positive	stick tokyo much get home	stick tokyo much get home  I'm sorry, I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm
positive	still time get warehouse	still time get warehouse  still time get warehouse  still time get warehouse  still time get warehouse  still time get warehouse  still time get warehouse  still time get warehouse  still time
positive	lisisilveira guess twitter problems new	lisisilveira guess twitter problems newbie  Lisisilveira guess twitter problems newbie 1  Lisisilveira guess twitter problems newbie 2  Lisisilveira guess twitter problems
positive	hoptonhousebnb karen realise	hoptonhousebnb karen realise that they are not the only ones who are having problems with this. they are also having problems with the other people who are having problems with this. they are also having problems with the other people who
positive	good morning anyone go	good morning anyone go to the new house? i have a question i have a new house and i am looking for a new house i have a question i have a new house and i am looking for a new house i
negative	one word	"one word: ""bitch""  The first time I heard the word ""bitch"" I thought it was a bad word. I thought it was a bad word. I thought it was a bad"
positive	sunburn go away please	sunburn go away please  I have been using this product for years and have never had a problem. I have used it on my face and it has never caused any problems. I have used it on my hands and
positive	crazi b autiful haha nah	crazi b autiful haha nah i mean i think it's a good idea to have a little fun with it but i think it's a good idea to have a little fun with it but i think it's a good idea to
positive	run cure breast cancer	run cure breast cancer  run cure breast cancer  run cure breast cancer  run cure breast cancer  run cure breast cancer  run cure breast cancer  run cure breast cancer  run cure
positive	stick traffic hour yesterday	stick traffic hour yesterday.  I'm not sure what the problem is, but I'm not sure I want to be the one to fix it.  I'm not sure I want to be the one to
positive	ah get look trans	"ah get look transitive verb: Verb not taking a direct object--for example, ""She jokes."" ""He has arrived.""  ah get look transitive verb: Verb not taking a direct object--for example"
negative	ahaha really bore	"ahaha really bore me to death with the ""I'm not a racist"" bullshit. I'm not a racist. I'm a white supremacist. I'm a racist. I'm a racist. I'm a racist"
positive	sick sing enthusiasm right	sick sing enthusiasm right now.  i think it's a good song, but i think it's a bad song.  i think it's a good song, but i think it's a bad song.
negative	farewell computer see hours	farewell computer see hours: 30 minutes  farewell computer see hours: 30 minutes  farewell computer see hours: 30 minutes  farewell computer see hours: 30 minutes  fare
negative	summer vacation time mean	summer vacation time mean vacation time in the United States is 30.00 minutes.  is the time of day in the United States that begins and ends in the United States and is neither coincidental nor unexpected. For
positive	kaos weather play nice	kaos weather play nice with the weather  The weather is nice and warm in the UK, and the weather is nice and warm in the US.  The weather is nice and warm in the UK, and the
positive	show get cancel	show get cancel  show cancel  show cancel  show cancel  show cancel  show cancel  show cancel  show cancel  show cancel  show cancel  show cancel
positive	like naomis sister	like naomis sister  I like the way you're holding your head up.  I like the way you're holding your head up.  I like the way you're holding your head up.
negative	pandadementia woooot	pandadementia wooooty  I'm not sure if this is a joke or not, but I'm going to say it anyway. I'm going to say it because I'm a huge fan of the show and
positive	shuttler expect see half	shuttler expect see half of the world's population living in the United States.  The United States is the world's largest economy, with a population of more than 1.2 billion people. The United States is also
positive	burgosvillavert say website due	burgosvillavert say website due to be taken down  A website for a group of people who have been fighting for the right to vote in the US presidential election has been taken down.  The website, which was run
positive	lake house watch game	lake house watch game  The lake house watch game is a game played by a group of people in a lake. The game is played by a group of people who are all wearing the same outfit. The players are
negative	step bad chapmans grrrr	step bad chapmans grrrr  I'm not sure if this is a joke or not, but I'm going to go ahead and say it. I'm going to go ahead and say that I'm not going to buy
positive	timhaines saw dave	timhaines saw dave's post about the new dave's post about the new dave's post about the new dave  dave's new post about the new dave's new post about the new d
negative	sleep eye open	sleep eye open  sleep eye closed  sleep eye open  sleep eye closed  sleep eye open  sleep eye closed  sleep eye closed  sleep eye closed  sleep eye closed
negative	jadezeller know force us lol	jadezeller know force us lol  I'm not sure if this is a joke or not, but I'm pretty sure it's not.  I'm not sure if this is a joke or not, but I'm
positive	june st tomorrow	june st tomorrow, and i will be doing a live stream of the event.  The event will be held at the same venue as the previous event, and will be broadcasted on the official stream.
positive	need help find lil kim	need help find lil kimberly?  click here to search for lil kimberly  or  click here to search for lil kimberly  or  click here to search for
positive	vbjc oven toast chicken	vbjc oven toast chicken  1/2 cup butter, softened  1/2 cup flour  1/2 cup sugar  1/2 cup milk  1/2 cup butter, softened
positive	video audio nothingggg n	video audio nothingggg nsfw  This is a very nice and very sexy video of a very nice and very sexy young woman. She is very beautiful and very sexy. She is very sexy. She is very sexy
negative	mornin sunshine	"mornin sunshine  I'm not sure if this is a joke or not, but I'm going to be doing a series of posts on the topic of the ""snow"" in the sky."
positive	yelyahwilliams wish actually	yelyahwilliams wish actually  I have been a fan of the show since it first aired in the US. I have been a fan of the show since it first aired in the US.  I have a friend
positive	robertofthehood pooo think go	robertofthehood pooo think go to the beach and watch the sunset.  robertofthehood pooo think about the sun and the ocean.  robertofthehood pooo think about the sun and the
positive	really could chocolate	really could chocolate be a good thing?  I'm not sure I've ever heard of chocolate being a good thing. I've heard of it being a good thing for the environment, but I've never heard
negative	miss pothole republic	miss pothole republica  Missouri  Missouri is a state with a lot of roads. It has more than 1,000 miles of roads, and more than half of them are in Missouri. The
positive	fall asleep get w rk	"fall asleep get w rkled up and ready to go  I'm a big fan of the ""I'm a big fan of the "" I'm a big fan of the "" I'm a big fan of the """
negative	izgotbeer much talk	izgotbeer much talk about the new beer, but what is the difference between the two?  The difference is that the new beer is a little bit different. The old one was a little bit different. The old
negative	willou en branle	willou en branle  (1) A small, round, soft, fibrous, fibrous, or tough, tough, tough, tough, tough, tough, tough, tough, tough, tough, tough
positive	reelnewyorker luck	reelnewyorker luckysuit  Re: [ANN] [PVE] The New York Times - The New York Times - The New York Times - The New York Times - The New York Times  I
negative	showertime alone	showertime alone  showertime alone  showertime alone  showertime alone  showertime alone  showertime alone  showertime alone  shower
positive	secondstomars much love	secondstomars much love you for your work. I am so grateful for your help. I am so happy with the results. I have been using this for the last few months and I am so happy with the results.
negative	pooja luvindia get pay work	pooja luvindia get pay work  pooja luvindia get pay work  pooja luvindia get pay work  pooja luvindia get pay work  poo
negative	meganwayxo brainstorm make icebox	meganwayxo brainstorm make icebox cake  meganwayxo brainstorm make icebox cake  meganwayxo brainstorm make icebox cake  meganwayxo brainstorm make icebox cake  me
negative	search smoke machine	search smoke machine  Search for:  DEFINITIONS:  Smoke machine  Smoke machine  Smoke machine  Smoke machine  Smoke machine  Sm
positive	back college tomorrow	back college tomorrow  I'm back from my trip to the University of California, Santa Cruz, to talk about the new book I'm writing about the history of the American Revolution. I'm also going to talk
negative	matthew fox make	matthew fox make a guest Aug 16th, 2016 1,895 Never a guest1,895Never  Not a member of Pastebin yet? Sign Up, it unlocks many cool features!  rawdownloadcloneembedreportprint
positive	jannagae appreciate mention stickers	jannagae appreciate mention stickers  jannagae appreciate mention stickers  jannagae appreciate mention stickers  jannagae appreciate mention stickers  jannagae appreciate mention stickers  jann
negative	alchey mornin chica	alchey mornin chica  (mornin chica)  (mornin chica)  (mornin chica)  (mornin chica)  (m
negative	read christian book	read christian book review  by christian book review  the christian book review is a place to discuss books that are either controversial, controversialist, or controversialististist.  this is a
positive	hate rain	hate rainbows  I'm a huge fan of the rainbow. It's a beautiful, colorful, and incredibly powerful symbol of love.  But, as I've learned, the rainbow is not the
negative	eat waaaay much	eat waaaay much food.  The first thing you'll notice about the new iPhone 6 and iPhone 6 Plus is that they're a lot thinner than the previous generation. The new iPhone 6 and iPhone 6 Plus are
negative	top morning	"top morning show host and former Republican presidential candidate Carly Fiorina said that she would be willing to run for president in 2016.  ""I would be willing to run for president in 2016,"" Fiorina said during a"
negative	hi like sunflower seed	hi like sunflower seed  hi like sunflower seed  hi like sunflower seed  hi like sunflower seed  hi like sunflower seed  hi like sunflower seed  hi like sun
positive	agingbackwards twitterhood still time	agingbackwards twitterhood still time to be a part of the community!  We are looking for a talented artist to create a unique piece of art for our upcoming exhibition. The piece will be displayed in our new gallery space at
positive	allicatco cartoon fan	allicatco cartoon fan  A cartoonist who loves to draw and draw well.  A cartoonist who loves to draw and draw well.  A cartoonist who loves to draw and draw well.
positive	orthodontist appointment today mouth	orthodontist appointment today mouthpiece  orthodontist appointment today mouthpiece  orthodontist appointment today mouthpiece  orthodontist appointment today mouthpiece  orthodontist appointment today mouth
negative	backup cycorder movies drink manager	backup cycorder movies drink manager  backup cycorder movies drink manager  backup cycorder movies drink manager  backup cycorder movies drink manager  backup cycorder movies drink manager
positive	tikitender bebelestrange yeah sooo fair	tikitender bebelestrange yeah sooo fair enough. i think the only thing that is really different is the way the game is being played.....  The first time I saw a picture of a man in a white shirt
negative	orson stop eat	orson stop eatin'  orson  orson  orson  orson  orson  orson  orson  orson  orson
positive	listen new music ashley tisdale	listen new music ashley tisdale  listen new music ashley tisdale  listen new music ashley tisdale  listen new music ashley tisdale  listen new music ash
positive	live check miss time	live check miss time  live check miss time  live check miss time  live check miss time  live check miss time  live check miss time  live check miss time  live check
positive	kansas city airport crazy	kansas city airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy airport crazy
positive	man want gumbo	man want gumbo  Man want gumbo  Man want gumbo  Man want gumbo  Man, want gumbo  Man, want gumbo  Man, want gumbo
positive	gear nyc weekend profile php	gear nyc weekend profile php artisanal food photography food photography food photography food photography food photography food photography food photography food photography food photography food photography food photography food photography food photography food photography food photography gourmet food photography gourmet food photography
negative	sweetcupcake heyyyy know	sweetcupcake heyyyy know what i want to do?  i want to be a model.  i want to be a model.  i want to be a model.  i want to be a
negative	rossmurderscene happy ill	rossmurderscene happy illuminati  I'm not sure if you've noticed, but I'm not a fan of the Illuminati. I'm not a fan of the Illuminati because they're a bunch of idiots who think they
positive	real ajalon let find tryna	real ajalon let find tryna find  real ajalon let find tryna find  real ajalon let find tryna find  real ajalon let find tryna find  real ajalon
negative	b reply	"b reply  I'm not sure what the point is.  The point is that the ""no"" is not a ""no""  ""No"" is a ""yes""  """
negative	know hungry let us	"know hungry let us know what you think  We're looking for a new writer to help us with the next chapter of the series.  The first chapter of the series, ""The Last of the Old Ones"
negative	still free mountain dew	still free mountain dew  I'm still free mountain dew.  I'm still free mountain dew.  I'm still free mountain dew.  I'm still free mountain dew.
positive	beautiful day outsidee	beautiful day outsidee  Beautiful day outsidee  Beautiful day outsidee  Beautiful day outsidee  Beautiful day outsidee  Beautiful day outsidee  Beautiful day
negative	jdloving want fair always	jdloving want fair always fair  I'm a big fan of the fairies. I'm not a big fan of the fairies in general. I'm not a big fan of the fairies in the movies.
negative	sandieb never get	sandieb never gettin' laid.  I'm not even sure what to say about this.  I'm not even sure if I can even say that I'm disappointed.  I'm not even
negative	mcflyfan katie thank x	mcflyfan katie thank xD  mcflyfan katie i'm sorry for the mess  mcflyfan katie i'm sorry for the mess  mcflyfan katie i'm sorry
positive	hello los angeles next	hello los angeles next week  The Los Angeles County Sheriff's Department is asking the public to help them find a missing person.  The department says it has received a tip that a person of interest is in the
positive	sooooooooooooo hot hot	sooooooooooooo hot hot  sooooooo hot  sooooooo hot  sooooooo hot  sooooooo hot  sooooooo hot  sooooooo hot  sooooo
positive	bed early call	bed early call for help  A man was rescued after he was rescued from a house in the city's west.  The man was rescued by firefighters after he was rescued from a house in the city's
negative	esse wolverine que	esse wolverine que se puede ser una vida esta vida, por el cualquier ciudadan las ciudades algunas ciudades de las cada
positive	lose langfordperry want know	lose langfordperry want know if you have a question about a product or service.  We want to hear from you.  Email us at ask@askmw.com.<|endoftext|>The first time I saw the
negative	kingacole kool beaz david buy	kingacole kool beaz david buyz  kingacole kool beaz david buyz  kingacole kool beaz david buyz  kingacole kool beaz david buyz  king
positive	yeye finally entire cd	yeye finally entire cd  yeye finally entire cd  yeye finally entire cd  yeye finally entire cd  yeye finally entire cd  yeye finally entire cd  yeye finally
positive	nernie manager sound like	nernie manager sound like a good idea.  I'm not sure if I'm the only one who's been wondering if the sound effects in the game are the same as the ones in the game.  I
positive	lovebugsy miss youknowwho	lovebugsy miss youknowwho  Lovebugsy  Lovebugsy  Lovebugsy  Lovebugsy  Lovebugsy  Lovebugsy  Lovebugsy  Lovebugsy
positive	adios twitter bug	adios twitter bug  I'm using the latest version of the latest version of the latest version of the latest version of the latest version of the latest version of the latest version of the latest version of the latest version
negative	want move l	"want move lp to the top of the list?  I'm not sure if you're a member of the ""I'm not sure if you're a member of the ""  "" or ""I"
negative	make squad	make squad  The first of the new season, the first of the new season, the first of the new season, the first of the new season, the first of the new season, the first of
positive	amazingphil know get onto bb	amazingphil know get onto bbq  amazingphil know get onto bbq  amazingphil know get onto bbq  amazingphil know get onto bbq  amazingphil know
positive	r go fight summer loliowe	r go fight summer loliowe  r go fight summer loliowe  r go fight summer loliowe  r go fight summer loliowe  r go fight summer loliowe  r go
negative	olivia li thank see	olivia li thank see you soon  olivia li thank see you soon  olivia li thank see you soon  olivia li thank see you soon  olivia li thank see you soon
negative	weewifie oh know	"weewifie oh know what i mean.  weewifie i mean,  weewifie you can't  weewifie just say  weewifie ""i don't"
negative	midorilyn thank	midorilyn thank you for your kind words. i am very sorry i am not able to respond to you. i am not able to respond to you because i am not able to respond to you. i am not
negative	chelsea handler drool	chelsea handler drool  I'm not sure if this is a good thing, but I'm going to be a little more specific about this.  The first time I saw the video, I thought it was
positive	followfirday webmarketingmav harith seocopy	followfirday webmarketingmav harith seocopy  followfirday webmarketingmav harith seocopy  followfirday webmarketingmav harith seocopy  followfirday webmarket
negative	kkfrae think feel	kkfrae think feel feel feel good feel bad feel stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid stupid
positive	sarmypureevil yes traumatize afternoon	sarmypureevil yes traumatize afternoon  sarmypureevil yes traumatize afternoon  sarmypureevil yes traumatize afternoon  sarmypureevil yes traumatize afternoon  sarmypureevil
negative	darkid lo unfolloweees plisss nierox	darkid lo unfolloweees plisss nierox  I'm a darkid. I'm a darkid. I'm a darkid. I'm a darkid. I'm a darkid. I'm a darkid. I'm
negative	sarahkelley good lead	sarahkelley good lead up to this, but i'm not sure if it's a good idea to go into this with a bunch of people who are already on the fence. i'm not sure if this is a good
negative	tommcfly wish could	"tommcfly wish could you please tell me what is the difference between a ""tommcfly"" and a ""tommc""?  tommcfly wish could you please tell me what is the difference between"
positive	dementedriku yup imagine things get	dementedriku yup imagine things get worse for you when you're a kid.  dementedriku i think it's because you're a kid.  dementedriku you're not a kid anymore.
negative	oooooo butt bigger forget crack	oooooo butt bigger forget cracker  I'm not sure if I should say this, but I'm going to say it anyway.  I'm going to say it anyway.  I'm going to say it
negative	rickmur must nice wish could	rickmur must nice wish could you please tell me how to get rid of this annoying bug? i have been using the latest version of the latest version of the latest version of the latest version of the latest version of the latest version
negative	cook breakfast clean dish	cook breakfast clean dishwasher  cook breakfast clean dishwasher  cook breakfast clean dishwasher  cook breakfast clean dishwasher  cook breakfast clean dishwasher  cook breakfast clean dishwasher  cook breakfast
negative	delariqua tiadalmade heybuddy sedityxbarbie hella	delariqua tiadalmade heybuddy sedityxbarbie hella hot bbw babe hella hot bbw babe hella hot bbw babe hella hot bbw babe hella hot bbw babe hella hot bbw babe
positive	hatastic morning	hatastic morning!  I'm so excited to be able to share this recipe with you! I've been wanting to make this recipe for a while and finally got the chance to make it! I've been
negative	pallekenl take lot	pallekenl take lot of time to make their products.  The quality of the product is not always the best.  The price is not always the best.  The quality of the product is not always
negative	sit drink simply	"sit drink simply because it is.  The term ""sit"" is used to describe a person who is sitting in a chair, in a car, or in a restaurant.  The term ""sit"""
negative	kristabowman well better	kristabowman well better than me.  I'm not saying that I'm not a fan of the show, but I'm not going to be watching it.  I'm not saying that I'm not a
positive	bed day still feel like	bed day still feel like a dream  I'm not sure what I'm doing here  I'm not sure what I'm doing here  I'm not sure what I'm doing here  I'm not
